Date,Time,Tweets,Likes
2024-07-29,00:00,0,5
2024-07-29,00:05,0,2
2024-07-29,00:10,0,17
2024-07-29,00:15,2,1
2024-07-29,00:20,1,8
2024-07-29,00:25,2,8
2024-07-29,00:30,2,6
2024-07-29,00:35,0,0
2024-07-29,00:40,1,11
2024-07-29,00:45,1,5
2024-07-29,00:50,2,6
2024-07-29,00:55,1,2
2024-07-29,01:00,0,2
2024-07-29,01:05,0,0
2024-07-29,01:10,0,1
2024-07-29,01:15,0,0
2024-07-29,01:20,0,0
2024-07-29,01:25,0,0
2024-07-29,01:30,0,0
2024-07-29,01:35,0,0
2024-07-29,01:40,0,0
2024-07-29,01:45,0,0
2024-07-29,01:50,0,0
2024-07-29,01:55,0,0
2024-07-29,02:00,0,0
2024-07-29,02:05,0,0
2024-07-29,02:10,0,0
2024-07-29,02:15,0,0
2024-07-29,02:20,0,0
2024-07-29,02:25,0,0
2024-07-29,02:30,0,0
2024-07-29,02:35,0,0
2024-07-29,02:40,0,0
2024-07-29,02:45,0,0
2024-07-29,02:50,0,0
2024-07-29,02:55,0,0
2024-07-29,03:00,0,0
2024-07-29,03:05,0,0
2024-07-29,03:10,0,0
2024-07-29,03:15,0,0
2024-07-29,03:20,0,0
2024-07-29,03:25,0,0
2024-07-29,03:30,0,0
2024-07-29,03:35,0,0
2024-07-29,03:40,0,0
2024-07-29,03:45,0,0
2024-07-29,03:50,0,0
2024-07-29,03:55,0,0
2024-07-29,04:00,0,0
2024-07-29,04:05,0,0
2024-07-29,04:10,0,0
2024-07-29,04:15,0,0
2024-07-29,04:20,0,0
2024-07-29,04:25,0,0
2024-07-29,04:30,0,0
2024-07-29,04:35,0,0
2024-07-29,04:40,0,0
2024-07-29,04:45,0,0
2024-07-29,04:50,0,0
2024-07-29,04:55,0,0
2024-07-29,05:00,0,0
2024-07-29,05:05,0,0
2024-07-29,05:10,0,0
2024-07-29,05:15,0,0
2024-07-29,05:20,0,0
2024-07-29,05:25,0,0
2024-07-29,05:30,0,0
2024-07-29,05:35,0,0
2024-07-29,05:40,0,0
2024-07-29,05:45,0,0
2024-07-29,05:50,0,0
2024-07-29,05:55,0,0
2024-07-29,06:00,0,0
2024-07-29,06:05,0,0
2024-07-29,06:10,0,0
2024-07-29,06:15,0,0
2024-07-29,06:20,0,0
2024-07-29,06:25,0,0
2024-07-29,06:30,0,0
2024-07-29,06:35,0,0
2024-07-29,06:40,0,0
2024-07-29,06:45,0,0
2024-07-29,06:50,0,0
2024-07-29,06:55,0,0
2024-07-29,07:00,0,0
2024-07-29,07:05,0,0
2024-07-29,07:10,0,0
2024-07-29,07:15,0,0
2024-07-29,07:20,0,0
2024-07-29,07:25,0,0
2024-07-29,07:30,0,0
2024-07-29,07:35,0,0
2024-07-29,07:40,0,0
2024-07-29,07:45,0,0
2024-07-29,07:50,0,0
2024-07-29,07:55,0,0
2024-07-29,08:00,0,0
2024-07-29,08:05,0,0
2024-07-29,08:10,0,5
2024-07-29,08:15,0,4
2024-07-29,08:20,0,1
2024-07-29,08:25,3,3
2024-07-29,08:30,1,0
2024-07-29,08:35,3,7
2024-07-29,08:40,2,2
2024-07-29,08:45,0,0
2024-07-29,08:50,3,14
2024-07-29,08:55,0,0
2024-07-29,09:00,0,0
2024-07-29,09:05,2,2
2024-07-29,09:10,5,2
2024-07-29,09:15,2,4
2024-07-29,09:20,2,8
2024-07-29,09:25,3,6
2024-07-29,09:30,2,1
2024-07-29,09:35,5,5
2024-07-29,09:40,4,10
2024-07-29,09:45,2,8
2024-07-29,09:50,0,0
2024-07-29,09:55,0,0
2024-07-29,10:00,0,0
2024-07-29,10:05,2,3
2024-07-29,10:10,5,10
2024-07-29,10:15,0,0
2024-07-29,10:20,0,0
2024-07-29,10:25,0,0
2024-07-29,10:30,1,1
2024-07-29,10:35,1,6
2024-07-29,10:40,0,0
2024-07-29,10:45,4,8
2024-07-29,10:50,0,2
2024-07-29,10:55,0,3
2024-07-29,11:00,1,0
2024-07-29,11:05,3,12
2024-07-29,11:10,0,11
2024-07-29,11:15,2,4
2024-07-29,11:20,1,0
2024-07-29,11:25,0,-1
2024-07-29,11:30,0,0
2024-07-29,11:35,0,0
2024-07-29,11:40,0,0
2024-07-29,11:45,2,2
2024-07-29,11:50,1,0
2024-07-29,11:55,0,0
2024-07-29,12:00,0,0
2024-07-29,12:05,0,0
2024-07-29,12:10,0,0
2024-07-29,12:15,2,2
2024-07-29,12:20,0,5
2024-07-29,12:25,0,0
2024-07-29,12:30,0,0
2024-07-29,12:35,0,0
2024-07-29,12:40,0,0
2024-07-29,12:45,0,0
2024-07-29,12:50,0,0
2024-07-29,12:55,0,0
2024-07-29,13:00,0,0
2024-07-29,13:05,0,0
2024-07-29,13:10,0,0
2024-07-29,13:15,0,0
2024-07-29,13:20,0,0
2024-07-29,13:25,0,-7
2024-07-29,13:30,0,0
2024-07-29,13:35,0,0
2024-07-29,13:40,0,0
2024-07-29,13:45,0,0
2024-07-29,13:50,0,0
2024-07-29,13:55,2,0
2024-07-29,14:00,5,7
2024-07-29,14:05,5,3
2024-07-29,14:10,0,0
2024-07-29,14:15,0,0
2024-07-29,14:20,0,0
2024-07-29,14:25,0,0
2024-07-29,14:30,0,0
2024-07-29,14:35,0,0
2024-07-29,14:40,0,0
2024-07-29,14:45,0,0
2024-07-29,14:50,0,0
2024-07-29,14:55,0,0
2024-07-29,15:00,0,0
2024-07-29,15:05,0,0
2024-07-29,15:10,0,0
2024-07-29,15:15,0,0
2024-07-29,15:20,0,0
2024-07-29,15:25,0,0
2024-07-29,15:30,0,0
2024-07-29,15:35,0,0
2024-07-29,15:40,0,0
2024-07-29,15:45,0,0
2024-07-29,15:50,2,4
2024-07-29,15:55,3,3
2024-07-29,16:00,5,9
2024-07-29,16:05,2,8
2024-07-29,16:10,3,6
2024-07-29,16:15,1,5
2024-07-29,16:20,2,11
2024-07-29,16:25,1,3
2024-07-29,16:30,4,8
2024-07-29,16:35,4,13
2024-07-29,16:40,2,5
2024-07-29,16:45,1,3
2024-07-29,16:50,0,6
2024-07-29,16:55,0,1
2024-07-29,17:00,1,1
2024-07-29,17:05,1,2
2024-07-29,17:10,1,5
2024-07-29,17:15,1,0
2024-07-29,17:20,1,0
2024-07-29,17:25,0,3
2024-07-29,17:30,1,0
2024-07-29,17:35,1,5
2024-07-29,17:40,1,1
2024-07-29,17:45,0,0
2024-07-29,17:50,0,6
2024-07-29,17:55,0,1
2024-07-29,18:00,0,3
2024-07-29,18:05,2,6
2024-07-29,18:10,0,-2
2024-07-29,18:15,0,0
2024-07-29,18:20,0,0
2024-07-29,18:25,0,1
2024-07-29,18:30,5,2
2024-07-29,18:35,1,2
2024-07-29,18:40,2,6
2024-07-29,18:45,0,0
2024-07-29,18:50,0,0
2024-07-29,18:55,1,2
2024-07-29,19:00,1,2
2024-07-29,19:05,1,0
2024-07-29,19:10,1,8
2024-07-29,19:15,2,6
2024-07-29,19:20,0,1
2024-07-29,19:25,1,1
2024-07-29,19:30,0,6
2024-07-29,19:35,0,7
2024-07-29,19:40,2,2
2024-07-29,19:45,1,0
2024-07-29,19:50,0,0
2024-07-29,19:55,1,0
2024-07-29,20:00,0,0
2024-07-29,20:05,0,0
2024-07-29,20:10,1,-1
2024-07-29,20:15,0,0
2024-07-29,20:20,0,1
2024-07-29,20:25,0,0
2024-07-29,20:30,3,5
2024-07-29,20:35,2,4
2024-07-29,20:40,0,0
2024-07-29,20:45,0,0
2024-07-29,20:50,4,4
2024-07-29,20:55,1,9
2024-07-29,21:00,0,2
2024-07-29,21:05,1,1
2024-07-29,21:10,0,6
2024-07-29,21:15,0,0
2024-07-29,21:20,0,0
2024-07-29,21:25,0,0
2024-07-29,21:30,0,0
2024-07-29,21:35,0,0
2024-07-29,21:40,0,0
2024-07-29,21:45,0,0
2024-07-29,21:50,1,3
2024-07-29,21:55,0,0
2024-07-29,22:00,0,0
2024-07-29,22:05,0,0
2024-07-29,22:10,0,-1
2024-07-29,22:15,0,0
2024-07-29,22:20,0,0
2024-07-29,22:25,0,0
2024-07-29,22:30,0,0
2024-07-29,22:35,0,0
2024-07-29,22:40,0,0
2024-07-29,22:45,0,0
2024-07-29,22:50,0,0
2024-07-29,22:55,0,0
2024-07-29,23:00,0,0
2024-07-29,23:05,0,0
2024-07-29,23:10,0,0
2024-07-29,23:15,0,0
2024-07-29,23:20,0,0
2024-07-29,23:25,0,0
2024-07-29,23:30,0,0
2024-07-29,23:35,2,1
2024-07-29,23:40,1,4
2024-07-29,23:45,1,3
2024-07-29,23:50,3,4
2024-07-29,23:55,0,3
